Rank;Name;Year;Genre;Genre_Enum;Publisher;VG_Global_Sales;IGN_Score;Editors_Choice
864;Worms Armageddon;1999;Strategy;9;Microprose;1.1;8.6;Y
865;Naruto Shippuden: Ultimate Ninja Storm 3;2013;Fighting;4;Namco Bandai Games;1.47;8.6;N
866;The Legend of Zelda: Twilight Princess HD;2016;Action;5;Nintendo;0.94;8.6;N
867;NHL 2003;2002;Sports;2;Electronic Arts;1.27;8.6;Y
868;Madden NFL 09 All-Play;2008;Sports;2;Electronic Arts;0.85;8.6;Y
869;Burnout;2001;Racing;8;Acclaim Entertainment;1.17;8.6;Y
870;Jet Moto 3;1999;Racing;8;Sony Computer Entertainment;0.74;8.6;N
871;Um Jammer Lammy;1998;Misc;12;Sony Computer Entertainment;0.66;8.6;Y
872;Red Steel 2;2010;Shooter;7;Ubisoft;0.63;8.6;Y
873;Final Fantasy IV Advance;2005;Role-Playing;3;Nintendo;0.61;8.6;Y
874;The Conduit;2009;Shooter;7;Sega;0.58;8.6;Y
875;NCAA March Madness 2005;2004;Sports;2;Electronic Arts;0.81;8.6;N
876;Final Fantasy;2000;Role-Playing;3;SquareSoft;0.51;8.6;Y
877;Silent Hill: Shattered Memories;2009;Action;5;Konami Digital Entertainment;1.38;8.6;Y
878;Victorious Boxers: Ippo's Road to Glory;2000;Fighting;4;Empire Interactive;0.47;8.6;Y
879;TimeSplitters;2000;Shooter;7;Eidos Interactive;0.43;8.6;Y
880;Zone of the Enders: The 2nd Runner;2003;Simulation;11;Konami Digital Entertainment;0.41;8.6;Y
881;Shin Megami Tensei: Nocturne;2003;Role-Playing;3;Ghostlight;0.38;8.6;Y
882;Doubutsu no Mori;2001;Simulation;11;Nintendo;0.31;8.6;Y
883;NHL 08;2007;Action;5;Electronic Arts;0.5;8.6;Y
884;Disgaea 2: Dark Hero Days;2009;Role-Playing;3;Nippon Ichi Software;0.25;8.6;Y
885;NCAA College Basketball 2K3;2002;Sports;2;Sega;0.38;8.6;Y
886;Age of Empires: Mythologies;2008;Strategy;9;THQ;0.22;8.6;Y
887;Ninja Gaiden: Dragon Sword;2008;Action;5;Tecmo Koei;0.22;8.6;Y
888;Risen;2009;Role-Playing;3;Deep Silver;0.33;8.6;Y
889;NHL Hitz Pro;2003;Sports;2;Midway Games;0.3;8.6;Y
890;Thief: Deadly Shadows;2004;Action;5;Eidos Interactive;0.17;8.6;Y
891;Wakeboarding Unleashed Featuring Shaun Murray;2003;Sports;2;Activision;0.23;8.6;Y
892;Phantom Brave;2004;Role-Playing;3;Tecmo Koei;0.14;8.6;Y
893;Micro Machines 64 Turbo;1999;Racing;8;Codemasters;0.14;8.6;N
894;Peggle: Dual Shot;2009;Puzzle;10;PopCap Games;0.12;8.6;Y
895;Retro Game Challenge;2007;Action;5;Namco Bandai Games;0.11;8.6;Y
896;Total War: WARHAMMER;2016;Strategy;9;Sega;0.1;8.6;N
897;Vanishing Point;2001;Racing;8;Acclaim Entertainment;0.1;8.6;N
898;Populous: The Beginning;1998;Strategy;9;Electronic Arts;0.09;8.6;N
899;Lock's Quest;2008;Strategy;9;THQ;0.09;8.6;Y
900;Ultimate Ghosts 'n Goblins;2006;Platform;1;Capcom;0.08;8.6;Y
901;Torchlight;2009;Role-Playing;3;JoWood Productions;0.07;8.6;Y
902;Turok: Dinosaur Hunter;1997;Shooter;7;Acclaim Entertainment;0.05;8.6;N
903;Supreme Commander: Forged Alliance;2007;Strategy;9;THQ;0.04;8.6;Y
904;Little Red Riding Hood's Zombie BBQ;2008;Shooter;7;Destineer;0.04;8.6;Y
905;Syberia II;2004;Adventure;6;Ubisoft;0.05;8.6;N
906;Mario Kart Wii;2008;Racing;8;Nintendo;35.82;8.5;Y
907;Gran Turismo 5;2010;Racing;8;Sony Computer Entertainment;10.77;8.5;Y
908;New Super Mario Bros. 2;2012;Platform;1;Nintendo;9.82;8.5;N
909;The Sims 3;2009;Simulation;11;Electronic Arts;15.45;8.5;Y
910;Crash Bandicoot 2: Cortex Strikes Back;1997;Platform;1;Sony Computer Entertainment;7.58;8.5;N
911;Assassin's Creed III;2012;Action;5;Ubisoft;13.1;8.5;N
912;Super Smash Bros.;1999;Fighting;4;Nintendo;5.55;8.5;Y
913;Super Mario World;2001;Platform;1;Nintendo;5.46;8.5;Y
914;Fable III;2010;Role-Playing;3;Microsoft Game Studios;5.45;8.5;Y
915;Madden NFL 06;2005;Sports;2;Electronic Arts;9.03;8.5;Y
916;Crash Team Racing;1999;Racing;8;Sony Computer Entertainment;4.79;8.5;Y
917;Madden NFL 07;2006;Sports;2;Electronic Arts;10.03;8.5;Y
918;Assassin's Creed: Revelations;2011;Action;5;Ubisoft;9.19;8.5;Y
919;Gran Turismo 5 Prologue;2007;Racing;8;Sony Computer Entertainment;4.2;8.5;Y
920;FIFA Soccer 07;2006;Sports;2;Electronic Arts;6.38;8.5;Y
921;Far Cry 4;2014;Shooter;7;Ubisoft;8.68;8.5;N
922;Professor Layton and the Diabolical Box;2007;Puzzle;10;Nintendo;4;8.5;Y
923;Assassin's Creed IV: Black Flag;2013;Action;5;Ubisoft;13.16;8.5;N
924;Battlefield 4;2013;Shooter;7;Electronic Arts;14.03;8.5;N
925;Clubhouse Games;2006;Misc;12;Nintendo;3.5;8.5;Y
926;Professor Layton and the Unwound Future;2008;Puzzle;10;Nintendo;3.36;8.5;Y
927;James Bond 007: Nightfire;2002;Shooter;7;Electronic Arts;5.06;8.5;Y
928;L.A. Noire;2011;Adventure;6;Take-Two Interactive;5.95;8.5;Y
929;Crisis Core: Final Fantasy VII;2007;Role-Playing;3;Square Enix;3.19;8.5;Y
930;Gears of War: Ultimate Edition;2015;Shooter;7;Microsoft Game Studios;3;8.5;N
931;Killzone 3;2011;Shooter;7;Sony Computer Entertainment;2.79;8.5;Y
932;Saints Row: The Third;2011;Action;5;THQ;5.64;8.5;Y
933;Call Of Duty 2: Big Red One;2005;Shooter;7;Activision;4.12;8.5;Y
934;LEGO Harry Potter: Years 1-4;2010;Action;5;Warner Bros. Interactive Entertainment;8.53;8.5;Y
935;Midnight Club: Los Angeles;2008;Racing;8;Take-Two Interactive;4.8;8.5;Y
936;Final Fantasy Tactics;1997;Role-Playing;3;SquareSoft;2.45;8.5;Y
937;Kirby: Nightmare in Dream Land;2002;Platform;1;Nintendo;2.27;8.5;Y
938;Saints Row;2006;Action;5;THQ;2.19;8.5;Y
939;Madden NFL 25;2013;Sports;2;Electronic Arts;5.54;8.5;N
940;Kingdom Hearts: Birth by Sleep;2010;Role-Playing;3;Square Enix;2.07;8.5;Y
941;Call of Duty 2;2005;Shooter;7;Activision;2.08;8.5;Y
942;Dynasty Warriors 3;2001;Action;5;THQ;1.95;8.5;Y
943;DDRMAX2: Dance Dance Revolution;2003;Simulation;11;Konami Digital Entertainment;1.81;8.5;Y
944;Sonic Colors;2010;Platform;1;Sega;3.11;8.5;Y
945;Uncharted: Golden Abyss;2011;Shooter;7;Sony Computer Entertainment;1.74;8.5;Y
946;Dying Light;2015;Action;5;Warner Bros. Interactive Entertainment;2.65;8.5;N
947;NBA Live 2003;2002;Sports;2;Electronic Arts;2.32;8.5;Y
948;Prince of Persia: Warrior Within;2004;Action;5;Ubisoft;2.64;8.5;Y
949;Sonic Generations;2011;Platform;1;Sega;4.17;8.5;Y
950;Rage;2011;Shooter;7;Bethesda Softworks;3.32;8.5;Y
951;Kingdom Hearts 3D: Dream Drop Distance;2012;Action;5;Square Enix;1.58;8.5;Y
952;Pro Evolution Soccer 2013;2012;Sports;2;Konami Digital Entertainment;2.52;8.5;Y
953;NFL Blitz;1998;Sports;2;Midway Games;2.56;8.5;N
954;Major League Baseball 2K5;2005;Sports;2;Take-Two Interactive;2.04;8.5;Y
955;Metal Gear Rising: Revengeance;2013;Action;5;Konami Digital Entertainment;1.97;8.5;N
956;Tom Clancy's Ghost Recon: Future Soldier;2012;Shooter;7;Ubisoft;2.6;8.5;Y
957;Anno 2070;2011;Strategy;9;Ubisoft;1.45;8.5;Y
958;Dragon Quest Monsters: Joker 2;2010;Role-Playing;3;Square Enix;1.45;8.5;Y
959;Frogger 2: Swampy's Revenge;1999;Action;5;Hasbro Interactive;1.43;8.5;N
960;Metroid: Other M;2010;Action;5;Nintendo;1.41;8.5;Y
961;Crash Bandicoot 2: N-Tranced;2003;Platform;1;Vivendi Games;1.36;8.5;Y
962;Dead to Rights;2002;Shooter;7;Electronic Arts;2.24;8.5;Y
963;Marvel vs. Capcom 3: Fate of Two Worlds;2011;Fighting;4;Capcom;2.43;8.5;Y
964;Samurai Warriors;2004;Action;5;Electronic Arts;1.42;8.5;Y
965;Lost Planet: Extreme Condition;2006;Shooter;7;Capcom;1.98;8.5;Y
966;MVP Baseball 2004;2004;Sports;2;Electronic Arts;2.19;8.5;Y
967;Manhunt;2003;Action;5;Take-Two Interactive;1.47;8.5;Y
968;NBA 2K9;2008;Sports;2;Take-Two Interactive;2.29;8.5;Y
969;Mario Power Tennis;2004;Sports;2;Nintendo;1.22;8.5;Y
970;F1 2011;2011;Racing;8;Codemasters;2.45;8.5;N
971;WCW Mayhem;1998;Fighting;4;Electronic Arts;2.01;8.5;N
972;Sly Cooper and the Thievius Raccoonus;2002;Platform;1;Sony Computer Entertainment;1.21;8.5;Y
973;Mario vs. Donkey Kong;2004;Puzzle;10;Nintendo;1.17;8.5;Y
974;Fight Night Champion;2011;Fighting;4;Electronic Arts;1.95;8.5;Y
975;Tenchu: Wrath of Heaven;2003;Action;5;Activision;1.14;8.5;Y
976;Brave Fencer Musashi;1998;Role-Playing;3;SquareSoft;1.14;8.5;N
977;Rabbids Go Home;2009;Platform;1;Ubisoft;1.86;8.5;Y
978;Yakuza 3;2009;Action;5;Sega;1.13;8.5;Y
979;Dragon Age II;2011;Action;5;Electronic Arts;2.6;8.5;Y
980;The Legend of Zelda: Tri Force Heroes;2015;Action;5;Nintendo;1.1;8.5;N
981;Tales of Symphonia;2003;Role-Playing;3;Nintendo;1.64;8.5;Y
982;Yakuza 2;2006;Adventure;6;Sega;1.09;8.5;Y
983;DiRT 3;2011;Racing;8;Codemasters;1.97;8.5;Y
984;SoulCalibur III;2005;Fighting;4;Namco Bandai Games;1.07;8.5;Y
985;Mortal Kombat: Armageddon;2006;Fighting;4;Midway Games;1.31;8.5;Y
986;Sleeping Dogs;2012;Action;5;Square Enix;2.69;8.5;N
987;MVP Baseball 2003;2003;Sports;2;Electronic Arts;1.24;8.5;Y
988;Kirby: Mass Attack;2011;Platform;1;Nintendo;1.04;8.5;Y
989;Tiger Woods PGA Tour 08;2007;Sports;2;Electronic Arts;3.14;8.5;Y
990;NCAA Football 12;2011;Sports;2;Electronic Arts;1.82;8.5;Y
991;NBA 2K10;2009;Sports;2;Take-Two Interactive;2.92;8.5;Y
992;MLB 07: The Show;2007;Sports;2;Sony Computer Entertainment;1.52;8.5;Y
993;NCAA Football 11;2010;Sports;2;Electronic Arts;2.14;8.5;Y
994;Crysis 3;2013;Shooter;7;Electronic Arts;2.46;8.5;N
995;MLB 15: The Show;2015;Sports;2;Sony Computer Entertainment;1.35;8.5;N
996;Fire Emblem: The Sacred Stones;2004;Strategy;9;Nintendo;0.89;8.5;Y
997;Rock Band 3;2010;Misc;12;MTV Games;2.23;8.5;Y
998;Street Fighter Alpha 2;1996;Fighting;4;Virgin Interactive;1.02;8.5;N
999;Burnout Legends;2005;Racing;8;Electronic Arts;1.03;8.5;Y
1000;DJ Hero 2;2010;Misc;12;Activision;2.2;8.5;Y
1001;Amped: Freestyle Snowboarding;2001;Sports;2;Microsoft Game Studios;0.82;8.5;Y
1002;Tales of Destiny II;2000;Role-Playing;3;Namco Bandai Games;0.81;8.5;Y
1003;Goldeneye 007: Reloaded;2011;Shooter;7;Activision;1.31;8.5;Y
1004;FIFA Soccer 2004;2003;Sports;2;Electronic Arts;4.4;8.5;Y
1005;Professor Layton and the Azran Legacy;2013;Puzzle;10;Nintendo;0.78;8.5;Y
1006;Mega Man X5;2000;Platform;1;Capcom;0.75;8.5;Y
1007;MVP 06 NCAA Baseball;2006;Sports;2;Electronic Arts;1.09;8.5;N
1008;Naruto Shippuden: Ultimate Ninja Storm Generations;2012;Fighting;4;Namco Bandai Games;1.19;8.5;Y
1009;Star Ocean: The Last Hope International;2010;Role-Playing;3;Square Enix;0.73;8.5;Y
1010;NHL 11;2010;Sports;2;Electronic Arts;1.33;8.5;N
1011;Area 51;1996;Shooter;7;GT Interactive;1.46;8.5;Y
1012;Top Spin 4;2011;Sports;2;Take-Two Interactive;1.29;8.5;Y
1013;Persona Q: Shadow of the Labyrinth;2014;Role-Playing;3;Nippon Ichi Software;0.71;8.5;N
1014;NHL 12;2011;Sports;2;Electronic Arts;1.29;8.5;N
1015;The Sly Collection;2010;Platform;1;Sony Computer Entertainment;0.69;8.5;Y
1016;The Last Story;2011;Role-Playing;3;Nintendo;0.68;8.5;Y
1017;Hot Shots Golf: Open Tee 2;2007;Sports;2;Sony Computer Entertainment;0.68;8.5;Y
1018;NHL 13;2012;Sports;2;Electronic Arts;1.32;8.5;N
1019;Street Fighter Anniversary Collection;2004;Fighting;4;Capcom;0.81;8.5;Y
1020;Fire Emblem: Shadow Dragon;2008;Role-Playing;3;Nintendo;0.65;8.5;Y
1021;X-Men Legends II: Rise of Apocalypse;2005;Role-Playing;3;Activision;1.61;8.5;Y
1022;NASCAR 06: Total Team Control;2005;Racing;8;Electronic Arts;0.9;8.5;Y
1023;FIFA Soccer 2002;2001;Sports;2;Electronic Arts;0.96;8.5;Y
1024;Shin Megami Tensei: Persona 3 Portable;2009;Role-Playing;3;Ghostlight;0.63;8.5;Y
1025;Tony Hawk's American Wasteland;2005;Sports;2;Activision;1.36;8.5;Y
1026;Vanquish;2010;Shooter;7;Sega;1.04;8.5;Y
1027;Warriors Orochi 3;2011;Action;5;Ubisoft Annecy;1.15;8.5;Y
1028;Spider-Man: Mysterio's Menace;2001;Action;5;Activision;0.61;8.5;N
1029;Mega Man Anniversary Collection;2004;Platform;1;Capcom;1.14;8.5;Y
1030;Disgaea 4: A Promise Unforgotten;2011;Role-Playing;3;Nippon Ichi Software;0.76;8.5;Y
1031;NHL 06;2005;Sports;2;Electronic Arts;0.91;8.5;Y
1032;Shin Megami Tensei IV;2013;Role-Playing;3;Atlus;0.57;8.5;N
1033;3D Dot Game Heroes;2009;Role-Playing;3;SouthPeak Games;0.57;8.5;Y
1034;Battlefield 2: Modern Combat;2005;Shooter;7;Electronic Arts;1.41;8.5;Y
1035;Dragon's Crown;2013;Role-Playing;3;Nippon Ichi Software;0.91;8.5;N
1036;Tactics Ogre: Let Us Cling Together;2010;Role-Playing;3;Square Enix;0.53;8.5;Y
1037;Sesame Street: Once Upon A Monster;2011;Misc;12;Warner Bros. Interactive Entertainment;0.53;8.5;N
1038;Picross 3D;2009;Puzzle;10;Nintendo;0.53;8.5;Y
1039;The 3rd Birthday;2010;Role-Playing;3;Square Enix;0.51;8.5;Y
1040;Activision Anthology;2002;Misc;12;Activision;0.55;8.5;Y
1041;Tactics Ogre: The Knight of Lodis;2001;Role-Playing;3;Nintendo;0.5;8.5;Y
1042;Dead Space Extraction;2009;Shooter;7;Electronic Arts;0.48;8.5;Y
1043;OkamiDen;2010;Adventure;6;Capcom;0.48;8.5;Y
1044;Valkyrie Profile 2: Silmeria;2006;Role-Playing;3;Square Enix;0.47;8.5;Y
1045;Boom Blox Bash Party;2009;Puzzle;10;Electronic Arts;0.47;8.5;Y
1046;Metal Gear Solid: The Twin Snakes;2004;Action;5;Konami Digital Entertainment;0.47;8.5;Y
1047;Mat Hoffman's Pro BMX 2;2002;Sports;2;Activision;0.86;8.5;Y
1048;Burnout Dominator;2007;Racing;8;Electronic Arts;0.46;8.5;Y
1049;Sphinx and the Cursed Mummy;2003;Action;5;THQ;0.71;8.5;N
1050;Tekken Advance;2001;Fighting;4;Infogrames;0.45;8.5;Y
1051;Dragon Quest Heroes: Rocket Slime;2005;Action;5;Square Enix;0.45;8.5;Y
1052;Transformers: Fall of Cybertron;2012;Action;5;Activision;0.86;8.5;N
1053;Child of Eden;2011;Shooter;7;Ubisoft;0.67;8.5;Y
1054;Blood Omen: Legacy of Kain;1996;Role-Playing;3;Crystal Dynamics;0.44;8.5;Y
1055;Valkyrie Profile: Covenant of the Plume;2008;Role-Playing;3;Square Enix;0.42;8.5;Y
1056;Mega Man Battle Network;2001;Role-Playing;3;Capcom;0.42;8.5;N
1057;Ghost Trick: Phantom Detective;2010;Adventure;6;Capcom;0.42;8.5;Y
1058;Dance Dance Revolution Ultramix 2;2004;Simulation;11;Konami Digital Entertainment;0.42;8.5;Y
1059;The Suffering;2004;Action;5;Midway Games;0.64;8.5;Y
1060;NBA Jam;2003;Sports;2;Acclaim Entertainment;1.78;8.5;Y
1061;BlazBlue: Continuum Shift;2010;Fighting;4;PQube;0.73;8.5;Y
1062;Theatrhythm Final Fantasy: Curtain Call;2014;Misc;12;Square Enix;0.37;8.5;N
1063;Valkyrie Profile: Lenneth;2006;Role-Playing;3;Square Enix;0.36;8.5;Y
1064;Monster Rancher 4;2003;Simulation;11;Tecmo Koei;0.34;8.5;Y
1065;Radiant Historia;2010;Role-Playing;3;Atlus;0.34;8.5;Y
1066;WWE Day of Reckoning 2;2005;Fighting;4;THQ;0.34;8.5;N
1067;Ultimate Marvel vs. Capcom 3;2011;Fighting;4;Capcom;0.5;8.5;N
1068;Disgaea 2: Cursed Memories;2006;Role-Playing;3;Tecmo Koei;0.33;8.5;Y
1069;Romance of the Three Kingdoms VII;2000;Strategy;9;Tecmo Koei;0.32;8.5;Y
1070;Mega Man Battle Network 2;2002;Action;5;Ubisoft;0.31;8.5;N
1071;Little King's Story;2009;Strategy;9;Rising Star Games;0.31;8.5;Y
1072;NASCAR Thunder 2003;2002;Racing;8;Electronic Arts;1.8;8.5;Y
1073;Trauma Center: New Blood;2007;Simulation;11;Nintendo;0.3;8.5;Y
1074;Kagero: Deception II;1998;Strategy;9;Virgin Interactive;0.29;8.5;N
1075;Shin Megami Tensei: Strange Journey;2009;Role-Playing;3;Atlus;0.29;8.5;Y
1076;BlazBlue: Chrono Phantasma;2013;Fighting;4;Arc System Works;0.4;8.5;N
1077;Psi-Ops: The Mindgate Conspiracy;2004;Shooter;7;Midway Games;0.46;8.5;Y
1078;RollerCoaster Tycoon 3;2004;Strategy;9;Atari;0.28;8.5;Y
1079;Puppeteer;2013;Platform;1;Sony Computer Entertainment Europe;0.28;8.5;N
1080;Tropico 4;2011;Strategy;9;Kalypso Media;0.63;8.5;Y
1081;America's Test Kitchen: Let's Get Cooking;2010;Simulation;11;Nintendo;0.27;8.5;Y
1082;Battlestations: Midway;2007;Strategy;9;Eidos Interactive;0.27;8.5;Y
1083;Final Fantasy V Advance;2006;Role-Playing;3;Nintendo;0.26;8.5;Y
1084;Etrian Odyssey Untold: The Millennium Girl;2013;Role-Playing;3;Atlus;0.26;8.5;N
1085;Bomberman Tournament;2001;Puzzle;10;Activision;0.25;8.5;N
1086;Grand Slam Tennis 2;2012;Sports;2;Electronic Arts;0.43;8.5;N
1087;Wild 9;1998;Action;5;Interplay;0.24;8.5;N
1088;Alundra;1997;Role-Playing;3;Psygnosis;0.23;8.5;Y
1089;Skies of Arcadia Legends;2002;Role-Playing;3;Atari;0.22;8.5;Y
1090;Shadow of Destiny;2001;Adventure;6;Konami Digital Entertainment;0.3;8.5;Y
1091;Final Fight One;2001;Fighting;4;Ubisoft;0.21;8.5;N
1092;Harvest Moon: More Friends of Mineral Town;2003;Simulation;11;Ubisoft;0.2;8.5;Y
1093;Gallop Racer;1999;Sports;2;Tecmo Koei;0.19;8.5;N
1094;Dead or Alive;1997;Fighting;4;Tecmo Koei;0.46;8.5;Y
1095;Moon;1997;Adventure;6;ASCII Entertainment;0.23;8.5;Y
1096;Lufia: Curse of the Sinistrals;2010;Role-Playing;3;Square Enix;0.16;8.5;Y
1097;Dr. Muto;2002;Platform;1;Midway Games;0.25;8.5;Y
1098;Puzzle Quest: Galactrix;2009;Puzzle;10;D3Publisher;0.16;8.5;Y
1099;Fatal Frame II: Crimson Butterfly;2003;Action;5;Ubisoft;0.16;8.5;Y
1100;Bleach: Dark Souls;2007;Fighting;4;Sega;0.15;8.5;Y
1101;Space Invaders Extreme;2008;Shooter;7;Square Enix;0.24;8.5;Y
1102;Jewel Quest Solitaire;2009;Puzzle;10;GSP;0.15;8.5;Y
1103;Kingdom Under Fire: Heroes;2005;Strategy;9;Deep Silver;0.15;8.5;N
1104;Tiger Woods PGA Tour;2004;Sports;2;Electronic Arts;0.36;8.5;Y
1105;Cave Story 3D;2011;Platform;1;Nippon Ichi Software;0.14;8.5;Y
1106;Cities: Skylines;2015;Simulation;11;Paradox Interactive;0.14;8.5;N
1107;NHL 2K8;2007;Sports;2;Take-Two Interactive;0.22;8.5;Y
1108;RollerCoaster Tycoon;2003;Strategy;9;Atari;0.17;8.5;Y
1109;Guardian's Crusade;1998;Role-Playing;3;Activision;0.12;8.5;N
1110;Blazblue: Continuum Shift Extend;2011;Fighting;4;PQube;0.22;8.5;Y
1111;IndyCar Series;2003;Racing;8;Codemasters;0.17;8.5;Y
1112;Thousand Arms;1998;Role-Playing;3;Atlus;0.12;8.5;N
1113;Phantom Dust;2004;Action;5;Microsoft Game Studios;0.11;8.5;Y
1114;Ring of Red;2000;Strategy;9;Konami Digital Entertainment;0.11;8.5;Y
1115;FlatOut: Ultimate Carnage;2007;Racing;8;Empire Interactive;0.12;8.5;Y
1116;Gallop Racer 2006;2005;Sports;2;Tecmo Koei;0.1;8.5;Y
1117;echochrome;2008;Puzzle;10;Sony Computer Entertainment;0.09;8.5;Y
1118;Sega Bass Fishing;1999;Sports;2;Sega;0.6;8.5;N
1119;Ultimate Brain Games;2003;Misc;12;Telegames;0.08;8.5;Y
1120;Strider 2;2000;Platform;1;Virgin Interactive;0.08;8.5;Y
1121;Incredible Crisis;1999;Action;5;Titus;0.08;8.5;Y
1122;Boxing Fever;2001;Sports;2;THQ;0.08;8.5;Y
1123;Phantasy Star Online Episode III: C.A.R.D. Revolution;2003;Role-Playing;3;Sega;0.08;8.5;Y
1124;GT Advance 3: Pro Concept Racing;2002;Racing;8;THQ;0.08;8.5;Y
1125;Magic Pengel: The Quest for Color;2002;Role-Playing;3;Taito;0.07;8.5;Y
1126;Super Ghouls 'n Ghosts;2002;Platform;1;Capcom;0.07;8.5;Y
1127;Hearts of Iron III;2009;Strategy;9;Paradox Interactive;0.07;8.5;N
1128;N+;2007;Platform;1;Atari;0.1;8.5;Y
1129;Monster Tale;2011;Platform;1;Majesco Entertainment;0.07;8.5;Y
1130;MotorStorm RC;2012;Racing;8;Sony Computer Entertainment;0.07;8.5;Y
1131;The Witcher;2007;Role-Playing;3;Atari;0.06;8.5;Y
1132;Mercury Meltdown;2006;Action;5;Atari;0.06;8.5;Y
1133;The Fast and the Furious;2006;Racing;8;Namco Bandai Games;0.08;8.5;Y
1134;G-Police: Weapons of Justice;1999;Action;5;Psygnosis;0.06;8.5;N
1135;The Sims 2: University;2005;Simulation;11;Electronic Arts;0.06;8.5;Y
1136;Bombastic;2002;Puzzle;10;Capcom;0.05;8.5;Y
1137;Rez;2001;Shooter;7;Sony Computer Entertainment;0.05;8.5;Y
1138;Thunder Force V: Perfect System;1998;Shooter;7;TechnoSoft;0.05;8.5;N
1139;The Lost Vikings;2003;Puzzle;10;Activision;0.05;8.5;Y
1140;Empire Earth;2001;Strategy;9;Vivendi Games;0.05;8.5;Y
1141;Worms Reloaded;2010;Strategy;9;Team17 Software;0.05;8.5;Y
1142;Rock 'N Roll Racing;2003;Racing;8;Activision;0.05;8.5;Y
1143;Time Crisis: Project Titan;2001;Shooter;7;Namco Bandai Games;0.05;8.5;Y
1144;Guilty Gear XX Accent Core;2007;Fighting;4;Unknown;0.08;8.5;Y
1145;Imperial Glory;2005;Strategy;9;Eidos Interactive;0.04;8.5;Y
1146;Point Blank 2;1998;Shooter;7;Namco Bandai Games;0.04;8.5;Y
1147;Resident Evil 4 HD;2016;Shooter;7;Capcom;0.04;8.5;Y
1148;Shantae and the Pirate's Curse;2015;Platform;1;Intergrow;0.03;8.5;N
1149;GTR Evolution;2008;Racing;8;Atari;0.03;8.5;N
1150;Race Driver 2006;2006;Racing;8;Codemasters;0.03;8.5;Y
1151;Dungeon Siege II;2005;Role-Playing;3;Microsoft Game Studios;0.03;8.5;Y
1152;Neverwinter Nights 2;2006;Role-Playing;3;Atari;0.03;8.5;Y
1153;Dungeon Defenders;2011;Role-Playing;3;Unknown;0.02;8.5;N
1154;Rising Zan: The Samurai Gunman;1998;Action;5;Agetec;0.02;8.5;N
1155;RoboCop;2003;Shooter;7;Titus;0.02;8.5;Y
1156;Enemy Territory: Quake Wars;2007;Shooter;7;Activision;0.82;8.5;Y
1157;Neverwinter Nights 2: Mask of the Betrayer;2007;Role-Playing;3;Atari;0.01;8.5;Y
1158;Mortal Kombat: Tournament Edition;2003;Fighting;4;Midway Games;0.01;8.5;Y
1159;Tomodachi Life;2013;Simulation;11;Nintendo;5.15;8.4;N
1160;Diddy Kong Racing;1997;Racing;8;Nintendo;4.88;8.4;N
1161;FIFA 17;2016;Sports;2;Electronic Arts;6.91;8.4;N
1162;Mortal Kombat X;2015;Fighting;4;Warner Bros. Interactive Entertainment;4.1;8.4;N
1163;Medal of Honor Heroes;2006;Shooter;7;Electronic Arts;2.65;8.4;Y
1164;Halo Wars;2009;Strategy;9;Microsoft Game Studios;2.63;8.4;Y
1165;Tom Clancy's Rainbow Six: Vegas 2;2008;Shooter;7;Ubisoft;3.79;8.4;N
1166;Super Monkey Ball: Banana Blitz;2006;Misc;12;Sega;2.27;8.4;Y
1167;Sim Theme Park;1998;Strategy;9;Electronic Arts;2.71;8.4;N
1168;X-Men Legends;2004;Role-Playing;3;Activision;3.36;8.4;Y
1169;The Sims: Hot Date;2001;Simulation;11;Electronic Arts;1.82;8.4;N
1170;Shaun White Snowboarding: Road Trip;2008;Sports;2;Ubisoft;1.67;8.4;N
1171;Dark Cloud;2000;Role-Playing;3;Sony Computer Entertainment;1.54;8.4;N
1172;Fight Night 2004;2004;Fighting;4;Electronic Arts;2.16;8.4;N
1173;WWE '13;2012;Action;5;THQ;2.83;8.4;N
1174;Medal of Honor Heroes 2;2007;Shooter;7;Electronic Arts;1.58;8.4;Y
1175;Naruto: Ultimate Ninja Storm;2008;Fighting;4;Namco Bandai Games;1.08;8.4;N
1176;DiRT;2007;Racing;8;Codemasters;1.95;8.4;Y
1177;NCAA March Madness 2004;2003;Sports;2;Electronic Arts;1.27;8.4;N
1178;Naruto: Clash of Ninja Revolution;2007;Fighting;4;Tomy Corporation;1.02;8.4;Y
1179;Ace Combat 6: Fires of Liberation;2007;Simulation;11;Atari;1.02;8.4;N
1180;Pro Evolution Soccer 2014;2013;Action;5;Konami Digital Entertainment;1.7;8.4;N
1181;NHL 2001;2000;Sports;2;Electronic Arts;1.59;8.4;N
1182;Tom Clancy's Ghost Recon: Island Thunder;2003;Shooter;7;Ubisoft;0.87;8.4;N
1183;Ninja Gaiden Sigma 2;2009;Action;5;Ubisoft Annecy;0.87;8.4;N
1184;Borderlands: The Handsome Collection;2015;Shooter;7;Take-Two Interactive;1.25;8.4;N
1185;Mega Man Legends;1997;Adventure;6;Capcom;0.83;8.4;N
1186;Hitman: Contracts;2004;Shooter;7;Eidos Interactive;1.14;8.4;N
1187;Perfect Dark Zero;2005;Shooter;7;Microsoft Game Studios;0.77;8.4;N
1188;Capcom vs. SNK 2: Mark of the Millennium 2001;2001;Fighting;4;Capcom;0.75;8.4;N
1189;Godzilla: Destroy All Monsters Melee;2002;Fighting;4;Atari;0.83;8.4;N
